generatorauthor,aiauthor,travelleddistance
Sebastian Asen,Vsevolod Tymofyeyev,12.964158094935732
Sebastian Vogl,Reference AI,30.410572786816978
Sebastian Vogl,Vsevolod Tymofyeyev,6.000110655745989
Sebastian Asen,Vsevolod Tymofyeyev,12.967851661650297
Sebastian Vogl,Reference AI,30.410564301368385
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6943003211689087
Sebastian Asen,Reference AI,256.3701107482787
Sebastian Asen,Reference AI,282.2193275369423
Harish Swaminathan Gopal,Marco Landau,0.20936702741303287
Harish Swaminathan Gopal,Marco Landau,0.20926996450681756
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6934208238940294
Reference Generator,Vsevolod Tymofyeyev,15.869975433940784
Reference Generator,Vsevolod Tymofyeyev,10.707168939162681
Sebastian Asen,Reference AI,127.56731067033077
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.694179635279833
Reference Generator,Marco Landau,12.672731643449724
Sebastian Asen,Marco Landau,9.886363522818023
Harish Swaminathan Gopal,Reference AI,224.31000886290292
Sebastian Vogl,Marco Landau,7.262634864758605e-05
Harish Swaminathan Gopal,Marco Landau,0.2094570579963545
Sebastian Asen,Reference AI,97.54904912284388
Sebastian Vogl,Marco Landau,90.1354864305977
Sebastian Vogl,Reference AI,30.80263767122068
Sebastian Asen,Reference AI,271.8495096177827
Sebastian Asen,Marco Landau,0.2710840103761398
Sebastian Vogl,Marco Landau,5.782329816638648e-05
Sebastian Vogl,Vsevolod Tymofyeyev,30.26222718288228
Sebastian Vogl,Reference AI,30.802649473869458
Reference Generator,Vsevolod Tymofyeyev,12.590515270334372
Sebastian Asen,Vsevolod Tymofyeyev,27.82923731123585
Harish Swaminathan Gopal,Reference AI,142.077464209609
Harish Swaminathan Gopal,Reference AI,116.97163713049537
Sebastian Vogl,Vsevolod Tymofyeyev,9.121401450460315
Sebastian Vogl,Vsevolod Tymofyeyev,30.410547281053148
Reference Generator,Marco Landau,11.281476140893076
Sebastian Asen,Vsevolod Tymofyeyev,1.9898325646837718
Sebastian Vogl,Marco Landau,4.938584251764556
Sebastian Vogl,Reference AI,40.3317236919869
Sebastian Vogl,Marco Landau,6.584008803724266e-05
Reference Generator,Vsevolod Tymofyeyev,13.88574248233495
Harish Swaminathan Gopal,Reference AI,451.1498474110247
Sebastian Asen,Marco Landau,9.889638347311463
Harish Swaminathan Gopal,Marco Landau,0.20876533477872
Sebastian Asen,Reference AI,248.63149160699106
Reference Generator,Reference AI,453.0873818690512
Sebastian Asen,Reference AI,98.88302923575826
Harish Swaminathan Gopal,Reference AI,142.85199492845362
Harish Swaminathan Gopal,Marco Landau,0.20950583266950806
Reference Generator,Vsevolod Tymofyeyev,12.38345787605994
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.420134956300943
Sebastian Vogl,Vsevolod Tymofyeyev,6.062522344349557
Sebastian Vogl,Vsevolod Tymofyeyev,6.049101147339912
Sebastian Vogl,Reference AI,40.68390072575943
Sebastian Asen,Vsevolod Tymofyeyev,13.522614808769529
Sebastian Vogl,Vsevolod Tymofyeyev,1.777075256260963
Sebastian Vogl,Reference AI,30.802646869275943
Sebastian Asen,Marco Landau,9.65580560087448
Harish Swaminathan Gopal,Reference AI,224.4176891042342
