goalarea,invalidgoalarea,author
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
184.0,False,Harish Swaminathan Gopal
3720.0,False,Harish Swaminathan Gopal
4128.0,False,Harish Swaminathan Gopal
3038.5,False,Harish Swaminathan Gopal
3625.0,False,Harish Swaminathan Gopal
2336.5,False,Harish Swaminathan Gopal
1376.0,False,Harish Swaminathan Gopal
5406.5,False,Harish Swaminathan Gopal
1180.5,False,Harish Swaminathan Gopal
4528.5,False,Harish Swaminathan Gopal
701.0,False,Harish Swaminathan Gopal
798.0,False,Harish Swaminathan Gopal
5930.0,False,Harish Swaminathan Gopal
553.5,False,Harish Swaminathan Gopal
4196.5,False,Harish Swaminathan Gopal
3682.5,False,Harish Swaminathan Gopal
1344.0,False,Harish Swaminathan Gopal
1592.0,False,Harish Swaminathan Gopal
1571.5,False,Harish Swaminathan Gopal
2780.0,False,Harish Swaminathan Gopal
2761.0,False,Harish Swaminathan Gopal
4036.5,False,Harish Swaminathan Gopal
5444.5,False,Harish Swaminathan Gopal
3699.0,False,Harish Swaminathan Gopal
1270.0,False,Harish Swaminathan Gopal
1102.5,False,Harish Swaminathan Gopal
1639.5,False,Harish Swaminathan Gopal
2654.0,False,Harish Swaminathan Gopal
1552.5,False,Harish Swaminathan Gopal
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
4.0,False,Sebastian Vogl
