author,roadlength
Harish Swaminathan Gopal,328.2118039958651
Harish Swaminathan Gopal,300.7771523151741
Harish Swaminathan Gopal,312.0339106197434
Harish Swaminathan Gopal,287.0881191938977
Harish Swaminathan Gopal,233.92507535101245
Harish Swaminathan Gopal,317.0688865489342
Harish Swaminathan Gopal,251.80946060121067
Harish Swaminathan Gopal,313.95846390469137
Harish Swaminathan Gopal,373.80874632153825
Harish Swaminathan Gopal,201.62371920375963
Harish Swaminathan Gopal,301.9197644674648
Harish Swaminathan Gopal,263.42147662221737
Harish Swaminathan Gopal,280.59024075888874
Harish Swaminathan Gopal,366.424306172769
Harish Swaminathan Gopal,326.74128196431974
Harish Swaminathan Gopal,285.8602914186832
Harish Swaminathan Gopal,286.5918702686119
Harish Swaminathan Gopal,303.86661658811016
Harish Swaminathan Gopal,404.7178813812342
Harish Swaminathan Gopal,248.42855074224357
Harish Swaminathan Gopal,319.35946090706784
Sebastian Asen,293.90414423232517
Sebastian Asen,301.66262537025176
Sebastian Asen,289.88186717269
Sebastian Asen,309.0868769611694
Sebastian Asen,329.598418122943
Sebastian Asen,300.92376337577366
Sebastian Asen,318.5034275509445
Sebastian Asen,318.36236250380665
Sebastian Asen,306.07858802049725
Sebastian Asen,328.6379963251473
Sebastian Asen,296.90170205448226
Sebastian Asen,320.74543885311647
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Reference Generator,401.6371803526627
Reference Generator,368.0279314946778
Reference Generator,241.35723058574217
Reference Generator,283.09186757300427
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Sebastian Vogl,17.0
Sebastian Vogl,82.0624390837628
Sebastian Vogl,67.81737101485709
Sebastian Vogl,80.0
Sebastian Vogl,100.0
Sebastian Vogl,120.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,80.0
Sebastian Vogl,90.0
Sebastian Vogl,68.82372727877143
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,84.03329637837291
Sebastian Vogl,86.0
Sebastian Vogl,100.15549442140352
Sebastian Vogl,107.0
Harish Swaminathan Gopal,270.4827891720918
Harish Swaminathan Gopal,287.4468446936796
Harish Swaminathan Gopal,247.409709693293
Harish Swaminathan Gopal,285.49461494040304
Harish Swaminathan Gopal,350.18813715312194
Harish Swaminathan Gopal,328.0175285364111
Harish Swaminathan Gopal,313.31197966228
Harish Swaminathan Gopal,397.53113534758785
Harish Swaminathan Gopal,268.336815136875
Harish Swaminathan Gopal,311.5957704120218
Harish Swaminathan Gopal,329.9950019887337
Harish Swaminathan Gopal,304.96891246630776
Harish Swaminathan Gopal,281.0849588237452
Harish Swaminathan Gopal,340.02490358878003
Harish Swaminathan Gopal,335.87310480899737
Harish Swaminathan Gopal,262.28412874079226
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Reference Generator,401.6371803526627
Reference Generator,368.0279314946778
Reference Generator,241.35723058574217
Reference Generator,283.09186757300427
Reference Generator,265.43513241140755
Reference Generator,282.7631894887839
Reference Generator,305.21601368859405
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Harish Swaminathan Gopal,325.5260995289187
Harish Swaminathan Gopal,238.03037751643515
Harish Swaminathan Gopal,308.8109969204802
Harish Swaminathan Gopal,295.02738238703006
Sebastian Vogl,67.81737101485709
Sebastian Vogl,17.0
Sebastian Vogl,82.0624390837628
Sebastian Vogl,67.81737101485709
Harish Swaminathan Gopal,241.1123967410248
Harish Swaminathan Gopal,276.9129580447492
Harish Swaminathan Gopal,388.6850493898544
Harish Swaminathan Gopal,327.7775256949559
Sebastian Vogl,80.0
Sebastian Vogl,100.0
Sebastian Vogl,120.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,80.0
Sebastian Vogl,90.0
Sebastian Vogl,68.82372727877143
Harish Swaminathan Gopal,290.1029573740229
Harish Swaminathan Gopal,303.79248123080583
Harish Swaminathan Gopal,257.90418870188796
Harish Swaminathan Gopal,297.5797345812105
Harish Swaminathan Gopal,246.63545524242386
Harish Swaminathan Gopal,275.56156594108523
Harish Swaminathan Gopal,295.87947502284476
Harish Swaminathan Gopal,317.94505090144924
Harish Swaminathan Gopal,324.6394523004556
Harish Swaminathan Gopal,231.04188002044566
Harish Swaminathan Gopal,250.73386820451694
Harish Swaminathan Gopal,292.17647622854133
Harish Swaminathan Gopal,281.0849588237452
Harish Swaminathan Gopal,340.02490358878003
Harish Swaminathan Gopal,335.87310480899737
Harish Swaminathan Gopal,262.28412874079226
Harish Swaminathan Gopal,325.5260995289187
Harish Swaminathan Gopal,238.03037751643515
Harish Swaminathan Gopal,308.8109969204802
Harish Swaminathan Gopal,295.02738238703006
Harish Swaminathan Gopal,241.1123967410248
Harish Swaminathan Gopal,276.9129580447492
Harish Swaminathan Gopal,388.6850493898544
Harish Swaminathan Gopal,327.7775256949559
Harish Swaminathan Gopal,259.5662955003286
Harish Swaminathan Gopal,374.0009154412927
Harish Swaminathan Gopal,366.12006490511794
Harish Swaminathan Gopal,230.11553061815496
Harish Swaminathan Gopal,290.3584588013062
Harish Swaminathan Gopal,322.94471070756816
Sebastian Asen,314.2211574716868
Sebastian Asen,323.5261811643447
Sebastian Asen,339.275101229948
Sebastian Asen,304.94100543980284
Sebastian Asen,324.5913274253899
Sebastian Asen,319.67238928659674
Sebastian Asen,308.2732013517687
Sebastian Asen,310.99939407320124
Sebastian Asen,312.49562834467747
Sebastian Asen,299.3778834512397
Sebastian Asen,312.8542824650147
Sebastian Asen,300.42335941195654
Sebastian Asen,307.71564479948864
Sebastian Asen,310.7523233212518
Sebastian Asen,305.4766946798793
Sebastian Asen,364.5318199121042
Sebastian Asen,299.7881173517752
Sebastian Asen,303.4976319910588
Sebastian Asen,318.92576745374765
Sebastian Asen,328.9192386831075
Harish Swaminathan Gopal,259.5662955003286
Sebastian Asen,295.4192535563619
Reference Generator,224.24829223117928
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Sebastian Vogl,17.0
Sebastian Vogl,82.0624390837628
Sebastian Vogl,67.81737101485709
Sebastian Asen,324.9067965038748
Sebastian Asen,304.79123117023295
Sebastian Asen,332.777652804717
Sebastian Asen,397.55763964062083
Sebastian Vogl,80.0
Sebastian Vogl,100.0
Sebastian Vogl,120.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,80.0
Sebastian Vogl,90.0
Harish Swaminathan Gopal,356.3843799034281
Harish Swaminathan Gopal,317.16201156963217
Harish Swaminathan Gopal,312.9589749635747
Harish Swaminathan Gopal,254.5252029460473
Harish Swaminathan Gopal,353.4672615102149
Harish Swaminathan Gopal,265.734928784068
Harish Swaminathan Gopal,213.49114481032956
Harish Swaminathan Gopal,205.6509630710498
Harish Swaminathan Gopal,293.09444004890867
Harish Swaminathan Gopal,379.8773557471684
Harish Swaminathan Gopal,404.01243242977546
Harish Swaminathan Gopal,249.4747170862652
Harish Swaminathan Gopal,317.69478387517705
Harish Swaminathan Gopal,205.98204160563347
Harish Swaminathan Gopal,305.72462342153636
Harish Swaminathan Gopal,324.90714888527486
Harish Swaminathan Gopal,255.9938856947321
Harish Swaminathan Gopal,301.9197644674648
Harish Swaminathan Gopal,263.42147662221737
Harish Swaminathan Gopal,280.59024075888874
Harish Swaminathan Gopal,366.424306172769
Harish Swaminathan Gopal,326.74128196431974
Harish Swaminathan Gopal,285.8602914186832
Harish Swaminathan Gopal,286.5918702686119
Harish Swaminathan Gopal,303.86661658811016
Harish Swaminathan Gopal,404.7178813812342
Harish Swaminathan Gopal,248.42855074224357
Harish Swaminathan Gopal,319.35946090706784
Sebastian Asen,293.90414423232517
Sebastian Asen,301.66262537025176
Sebastian Asen,289.88186717269
Sebastian Asen,309.0868769611694
Sebastian Asen,329.598418122943
Sebastian Asen,300.92376337577366
Sebastian Asen,318.5034275509445
Sebastian Asen,318.36236250380665
Sebastian Asen,306.07858802049725
Sebastian Asen,328.6379963251473
Sebastian Asen,296.90170205448226
Sebastian Asen,320.74543885311647
Sebastian Asen,311.7848965458828
Sebastian Asen,339.9475463073138
Sebastian Asen,342.1737543803664
Sebastian Asen,329.5675441009064
Sebastian Asen,348.129102102892
Sebastian Asen,311.93015474616016
Sebastian Asen,314.74923956410163
Sebastian Asen,319.81132865260076
Sebastian Asen,294.4246251071081
Sebastian Asen,322.8081535389738
Sebastian Asen,317.7654977005242
Sebastian Asen,331.78956707120363
Sebastian Asen,335.64513358126464
Sebastian Asen,314.2992604840136
Sebastian Asen,397.3639053349708
